companyCode,news_stress,entity_stress_fundamental
BAHOFL,0.384,11.74
BAJAUTF,0.5553,11.08
BAJSL,0.3334,8.28
BALKRIS,0.3952,9.98
BALWVAN,0.4745,10.1
BANSO,0.176,17.19
BAPHARM,0.3584,13.42
BAPOLI,0.5427,14.22
BAPRIT,0.3917,12.21
BAPRRL,0.3346,13.38
BASIL,0.4874,85.77
BAXLIM,0.3286,10.96
BBDBSPL,0.3225,16.18
BBELTD,0.4655,40.71
BBGGCH,0.4948,10.3
BBKSPL,0.4273,30.61
BBMMHA,0.5264,24.27
BCEI,0.3518,13.4
BCHEL,0.5325,11.14
BCIP,0.5663,10.12
BCRNPL,0.2793,13.18
BDACPL,0.3487,10.57
BDCMPULTD,0.3414,10.28
BDGM,0.4431,11.65
BDMPLB,0.6625,14.92
BDOXPL,0.4045,9.01
BDSPPL46,0.5051,15.0
BDVENL,0.3435,12.58
BEBIPI,0.2228,21.23
BEDTPL,0.2808,23.7
BENCOLE,0.3886,60.0
BEPRRL,0.4478,27.83
BERPAIN,0.5623,11.79
BESMML,0.4338,9.27
BGDIPL,0.3718,11.94
BGFOIPL,0.9172,10.28
BGLIPPL,0.3888,13.28
BGTFEL,0.4901,36.84
BHAGEAR,0.4361,22.44
BHAGIM,0.3873,15.69
BHAPETR,0.3488,10.5
BHARRL,0.4478,28.56
BHCHPL,0.4947,46.1
BHCLPL,0.3958,17.34
BHER,0.3517,17.63
BHHIIN,0.367,9.82
BHISPIN,0.7037,27.86
BHISUP,0.2106,12.32
BHMIAC,0.552,24.09
BHPEPL,0.4767,39.8
BHPRDL,0.4857,16.16
BHRTELELD,0.6634,12.56
BHSPRL,0.446,33.73
BHSTPI,0.0401,27.51
BHTCPL,0.788,34.61
BHUNPL,0.3095,23.53
BHVEPL,0.4911,12.25
BIAKPL,0.4099,9.53
BIBIIL,0.384,9.22
BIHEPL2,0.3262,14.39
BIINDIA,0.3807,9.35
BIINPL96,0.4299,9.18
BINCD,0.3175,9.13
BINFSPL,0.4079,13.09
BJJRM,0.3728,85.53
BKBFPL,0.3735,9.32
BKDESPL,0.4686,14.22
BKHLTPL,0.4619,27.33
BKSC,0.5142,60.0
BKYA,0.4418,36.37
BLAUGPL,0.5702,17.08
BLCOGPL,0.4731,36.82
BLCPL,0.3543,9.95
BLDTBU,0.469,9.79
BLFBIL,0.2771,10.84
BLINTL,0.4103,37.44
BLJPN,0.496,86.88
BLJWRPL,0.6076,12.35
BLKSL,0.3583,29.18
BLOPLAS,0.5254,12.09
BLPVL,0.4701,60.0
BLRLGIL,0.3083,9.03
BLSISL,0.3802,60.0
BLTIF,0.4029,15.46
BMCOPL,0.0367,12.86
BMWETS,0.4372,12.07
BMWVEN,0.3258,13.07
BNHCPL,0.4196,11.52
BNSIPJL,0.3471,29.54
BNTIPL,0.4916,13.56
BOAGRPL,0.576,10.97
BOLARKS,0.5565,66.27
BOMBURM,0.4673,9.62
BOMDYEI,0.5098,14.04
BPABPPL,0.4626,14.45
BPBIPL,0.3365,12.42
BPIJPL,0.3342,12.92
BPITCL,0.4183,10.85
BPLATLD,0.4679,13.75
BPLMRL,0.4853,29.86
BRAUT,0.3832,41.55
BRCP,0.466,10.4
BRFI,0.3786,19.69
BRHBRPL,0.4816,35.37
BRITANN,0.4409,12.62
BROCHB,0.1087,15.77
BRTCDPL,0.3843,12.43
BRTV,0.447,14.17
BSDU,0.5015,60.0
BSOISL,0.3505,13.14
BSPHPL,0.3855,60.0
BSRSRPL,0.4784,39.06
BSSIPL,0.4867,35.98
BSTCPS,0.5184,14.37
BSVL,0.3787,8.48
BTACP,0.4624,13.49
BTCPL,0.381,18.11
BTWFPL,0.2221,19.03
BTXCIL,0.49,60.0
BVNINDS,0.4156,9.27
BWNHCA,0.4484,36.27
BWWMPL,0.3989,15.13
BZRT,0.3515,9.62
CAACPL,0.2945,9.76
CAFPVL,0.3759,30.69
CAFRPLS,0.429,9.8
CAGGPL,0.4678,10.06
CAHEALT,0.3576,14.53
CALTPL,0.3258,10.77
CAMPCO,0.4787,10.19
CANFACLTD,0.4117,10.21
CAPAPL,0.496,86.96
CAPRBL,0.3975,11.52
CARRPI,0.5232,23.32
CARUNIV,0.5363,11.77
CATEPI,0.2383,13.28
CATMPC,0.3863,21.45
CAVKPL,0.3275,13.75
CBILPL,0.4432,13.49
CBMVWPL,0.4359,37.31
CBSM,0.3644,14.42
CCABLE,0.4063,11.58
CCFIPL,0.3481,11.59
CDLMT,0.4855,24.53
CDVDC,0.5591,85.77
CEABPL,0.2657,12.68
CEBRPL,0.4807,35.04
CELFL,0.5785,29.9
CENTEXT,0.4349,18.82
CERIPL,0.9406,11.24
CEXCIPL,0.4654,60.0
CFAFPL,0.5503,23.42
CFSL,0.4207,15.08
CGHDH,0.5521,29.04
CGHEPL,0.4678,16.21
CGORPPL,0.3792,11.7
