companyCode,companyName,total_facilities,cumulative,cum_pct
NIRMA,Nirma Limited,4250.0,2636233.5899999994,69.6454948143286
GWRCS,Gawar Construction Limited,4125.0,2640358.5899999994,69.75447137361336
ACVUPL,ACME Venus Urja Private Limited,4072.0,2644430.5899999994,69.8620477492273
SIINSL,Sify Infinit Spaces Limited,4053.78,2648484.369999999,69.9691427786812
SLGBPL,SLMG Beverages Private Limited,4052.0,2652536.369999999,70.07619078309862
APOTYLT,Apollo Tyres Limited,4000.4,2656536.769999999,70.18187558982898
CRIDSP,Navi Finserv Limited,4000.000000000001,2660536.769999999,70.28754982913541
GRFSPL,CreditAccess Grameen Limited,4000.0,2664536.769999999,70.39322406844185
ABHINDLTD,Trident Limited,4000.0,2668536.769999999,70.49889830774828
CRAPL,Craftsman Automation Limited,3950.0,2672486.769999999,70.60325161906337
GDS8795,Jakson Limited,3860.0,2676346.769999999,70.70522725999409
AACIPR,Tyger Capital Private Limited,3799.9999999999995,2680146.769999999,70.8056177873352
HYUMOTO,Hyundai Motor India Limited,3700.0,2683846.769999999,70.90336645869365
GDS4728,DLF Cyber City Developers Limited,3700.0,2687546.769999999,71.0011151300521
PFIPAL,Payu Finance India Private Limited,3700.0,2691246.769999999,71.09886380141054
SINHOTPL,Panipat Jalandhar NH-1 Tollway Private Limited,3646.0,2694892.769999999,71.19518587053835
SDRIPL,Shyam Metalics and Energy Limited,3600.0,2698492.769999999,71.29029268591415
MCCPTAICPL,MCPI Private Limited,3590.0,2702082.769999999,71.38513531569167
MSFL,Marwadi Shares and Finance Limited,3575.0,2705657.769999999,71.47958166707178
NXTTRU,Nxt-Infra Trust,3550.0,2709207.769999999,71.57336755445625
AMRJIPL,Amara Raja Infra Private Limited,3501.49,2712709.2599999993,71.66587187750353
SRMHFL,Truhome Finance Limited,3500.0,2716209.2599999993,71.75833683689665
SRIFPL,Serentica Renewables India 4 Private Limited,3500.0,2719709.2599999993,71.85080179628979
BDCMPULTD,Banaskantha District Co-Operative Milk Producers Union Limited,3469.0,2723178.2599999993,71.9424477803283
CENTEXT,Aditya Birla Real Estate Limited,3419.0,2726597.2599999993,72.03277283637546
IAURSL,IAV Urja Services Limited,3357.0,2729954.2599999993,72.12145994171338
JKPLTD,JK Paper Limited,3280.5,2733234.7599999993,72.20812602722458
AEPIPLTD,Amber Enterprises India Limited,3252.0,2736486.7599999993,72.2940391837807
TPCODL,TP Central Odisha Distribution Limited,3212.0,2739698.7599999993,72.37889559794375
BDVENL,Belrise Industries Limited,3211.0,2742909.7599999993,72.463725593547
SRDS,Parry Sugars Refinery India Private Limited,3200.0,2746109.7599999993,72.54826498499214
DLFULTD,DLF Limited,3183.0,2749292.7599999993,72.63235526092025
DBMRSPL,Devbhumi Realtors Private Limited,3106.0,2752398.7599999993,72.71441130774168
TAMPVL,Tata Motors Passenger Vehicles Limited - (Amalgamated),3100.0,2755498.7599999993,72.79630884320417
CPVFAC,Mizuho Capsave Finance Private Limited,3049.9999999999995,2758548.7599999993,72.87688545067532
GDS10319,Kribhco Fertilizers Limited,3001.25,2761550.0099999993,72.95617415335494
DEEFERT,Deepak Fertilisers And Petrochemicals Corporation Limited,3000.0000000000005,2764550.0099999993,73.03542983283475
JSCPLJ,Jainam Broking Limited,3000.0,2767550.0099999993,73.11468551231458
BRITANN,Britannia Industries Limited,3000.0,2770550.0099999993,73.19394119179441
ZELEPL,CapFloat Financial Services Private limited,3000.0,2773550.0099999993,73.27319687127422
MUHOIL,Muthoot Homefin India Limited,3000.0,2776550.0099999993,73.35245255075405
BAPRIT,Bajel Projects Limited,3000.0,2779550.0099999993,73.43170823023388
BHHIIN,Indus Infra Trust,3000.0,2782550.0099999993,73.5109639097137
MTHFCL,Muthoot Housing Finance Company Limited,3000.0,2785550.0099999993,73.59021958919352
MUMOPL,Muthoot Money Limited,3000.0,2788550.0099999993,73.66947526867335
JAIIRRI,Jain Irrigation Systems Limited,2930.0,2791480.0099999993,73.74688164896531
PCPLPC5,Performance Chemiserve Limited,2900.0,2794380.0099999993,73.82349547246247
TPVASL,TP Vardhaman Surya Limited,2900.0,2797280.0099999993,73.90010929595964
